Year,Month,MFR,MODEL,DelayedFlights
2006,5,AIRBUS,A300B4,22
2006,5,AIRBUS,A319,1896
2006,5,AIRBUS,A320,2743
2006,5,AIRBUS,A321,103
2006,5,AIRBUS,A340,14
2006,5,BOEING,717,623
2006,5,BOEING,737,4830
2006,5,BOEING,747,94
2006,5,BOEING,757,1700
2006,5,BOEING,767,538
2006,5,BOEING,777,81
2006,5,BOEING,787,14
2006,6,AIRBUS,A300B4,12
2006,6,AIRBUS,A319,2571
2006,6,AIRBUS,A320,3976
2006,6,AIRBUS,A321,167
2006,6,AIRBUS,A340,13
2006,6,BOEING,717,1227
2006,6,BOEING,737,7281
2006,6,BOEING,747,129
2006,6,BOEING,757,2582
2006,6,BOEING,767,702
2006,6,BOEING,777,124
2006,6,BOEING,787,15
2006,7,AIRBUS,A300B4,22
2006,7,AIRBUS,A319,2567
2006,7,AIRBUS,A320,3925
2006,7,AIRBUS,A321,173
2006,7,AIRBUS,A330,2
2006,7,AIRBUS,A340,16
2006,7,BOEING,717,1188
2006,7,BOEING,737,6827
2006,7,BOEING,747,138
2006,7,BOEING,757,2696
2006,7,BOEING,767,754
2006,7,BOEING,777,156
2006,7,BOEING,787,6
2006,8,AIRBUS,A300B4,10
2006,8,AIRBUS,A319,2315
2006,8,AIRBUS,A320,3538
2006,8,AIRBUS,A321,155
2006,8,AIRBUS,A330,8
2006,8,AIRBUS,A340,10
2006,8,BOEING,717,1280
2006,8,BOEING,737,5468
2006,8,BOEING,747,88
2006,8,BOEING,757,2475
2006,8,BOEING,767,640
2006,8,BOEING,777,127
2006,8,BOEING,787,5
2006,9,AIRBUS,A300B4,19
2006,9,AIRBUS,A319,1706
2006,9,AIRBUS,A320,2939
2006,9,AIRBUS,A321,132
2006,9,AIRBUS,A330,15
2006,9,AIRBUS,A340,5
2006,9,BOEING,717,693
2006,9,BOEING,737,3576
2006,9,BOEING,747,70
2006,9,BOEING,757,2051
2006,9,BOEING,767,650
2006,9,BOEING,777,100
2006,10,AIRBUS,A300B4,12
2006,10,AIRBUS,A319,2253
2006,10,AIRBUS,A320,3519
2006,10,AIRBUS,A321,150
2006,10,AIRBUS,A330,19
2006,10,AIRBUS,A340,10
2006,10,BOEING,717,967
2006,10,BOEING,737,4602
2006,10,BOEING,747,79
2006,10,BOEING,757,2626
2006,10,BOEING,767,819
2006,10,BOEING,777,117
2006,11,AIRBUS,A300B4,17
2006,11,AIRBUS,A319,2064
2006,11,AIRBUS,A320,3478
2006,11,AIRBUS,A321,133
2006,11,AIRBUS,A330,24
2006,11,AIRBUS,A340,7
2006,11,BOEING,717,801
2006,11,BOEING,737,4195
2006,11,BOEING,747,64
2006,11,BOEING,757,2380
2006,11,BOEING,767,840
2006,11,BOEING,777,104
2006,12,AIRBUS,A300B4,4
2006,12,AIRBUS,A319,3103
2006,12,AIRBUS,A320,5360
2006,12,AIRBUS,A321,201
2006,12,AIRBUS,A330,38
2006,12,AIRBUS,A340,11
2006,12,BOEING,717,1105
2006,12,BOEING,737,6142
2006,12,BOEING,747,82
2006,12,BOEING,757,2799
2006,12,BOEING,767,897
2006,12,BOEING,777,151
2007,1,AIRBUS,A300B4,3
2007,1,AIRBUS,A319,2642
2007,1,AIRBUS,A320,4394
2007,1,AIRBUS,A321,253
2007,1,AIRBUS,A330,26
2007,1,AIRBUS,A340,8
2007,1,BOEING,717,803
2007,1,BOEING,737,4442
2007,1,BOEING,747,66
2007,1,BOEING,757,2436
2007,1,BOEING,767,732
2007,1,BOEING,777,131
2007,2,AIRBUS,A300B4,13
2007,2,AIRBUS,A319,3398
2007,2,AIRBUS,A320,5270
2007,2,AIRBUS,A321,316
2007,2,AIRBUS,A330,49
2007,2,AIRBUS,A340,10
2007,2,BOEING,717,1094
2007,2,BOEING,737,8917
2007,2,BOEING,747,83
2007,2,BOEING,757,2945
2007,2,BOEING,767,820
2007,2,BOEING,777,143
2007,3,AIRBUS,A300B4,15
2007,3,AIRBUS,A319,4556
2007,3,AIRBUS,A320,5634
2007,3,AIRBUS,A321,1077
2007,3,AIRBUS,A330,53
2007,3,AIRBUS,A340,7
2007,3,BOEING,717,1084
2007,3,BOEING,737,11058
2007,3,BOEING,747,94
2007,3,BOEING,757,3333
2007,3,BOEING,767,954
2007,3,BOEING,777,134
2007,4,AIRBUS,A300B4,14
2007,4,AIRBUS,A319,3567
2007,4,AIRBUS,A320,4617
2007,4,AIRBUS,A321,735
2007,4,AIRBUS,A330,37
2007,4,AIRBUS,A340,12
2007,4,BOEING,717,848
2007,4,BOEING,737,9501
2007,4,BOEING,747,49
2007,4,BOEING,757,2538
2007,4,BOEING,767,770
2007,4,BOEING,777,100
2007,5,AIRBUS,A300B4,13
2007,5,AIRBUS,A319,3383
2007,5,AIRBUS,A320,3844
2007,5,AIRBUS,A321,608
2007,5,AIRBUS,A330,50
2007,5,AIRBUS,A340,10
2007,5,BOEING,717,683
2007,5,BOEING,737,9716
2007,5,BOEING,747,76
2007,5,BOEING,757,2063
2007,5,BOEING,767,648
2007,5,BOEING,777,109
2007,6,AIRBUS,A300B4,17
2007,6,AIRBUS,A319,4085
2007,6,AIRBUS,A320,5028
2007,6,AIRBUS,A321,798
2007,6,AIRBUS,A330,63
2007,6,AIRBUS,A340,15
2007,6,BOEING,717,1122
2007,6,BOEING,737,14152
2007,6,BOEING,747,89
2007,6,BOEING,757,3497
2007,6,BOEING,767,916
2007,6,BOEING,777,158
2007,7,AIRBUS,A300B4,21
2007,7,AIRBUS,A319,3606
2007,7,AIRBUS,A320,4906
2007,7,AIRBUS,A321,722
2007,7,AIRBUS,A330,75
2007,7,AIRBUS,A340,15
2007,7,BOEING,717,1278
2007,7,BOEING,737,14682
2007,7,BOEING,747,101
2007,7,BOEING,757,3657
2007,7,BOEING,767,993
2007,7,BOEING,777,143
2007,8,AIRBUS,A300B4,10
2007,8,AIRBUS,A319,3305
2007,8,AIRBUS,A320,4354
2007,8,AIRBUS,A321,653
2007,8,AIRBUS,A330,46
2007,8,AIRBUS,A340,12
2007,8,BOEING,717,1275
2007,8,BOEING,737,14091
2007,8,BOEING,747,109
2007,8,BOEING,757,3284
2007,8,BOEING,767,893
2007,8,BOEING,777,161
2007,9,AIRBUS,A300B4,14
2007,9,AIRBUS,A319,1870
2007,9,AIRBUS,A320,2363
2007,9,AIRBUS,A321,372
2007,9,AIRBUS,A330,28
2007,9,AIRBUS,A340,8
2007,9,BOEING,717,566
2007,9,BOEING,737,7379
2007,9,BOEING,747,90
2007,9,BOEING,757,1820
2007,9,BOEING,767,592
2007,9,BOEING,777,73
2007,10,AIRBUS,A300B4,18
2007,10,AIRBUS,A319,2201
2007,10,AIRBUS,A320,3060
2007,10,AIRBUS,A321,451
2007,10,AIRBUS,A330,19
2007,10,AIRBUS,A340,2
2007,10,BOEING,717,782
2007,10,BOEING,737,9389
2007,10,BOEING,747,81
2007,10,BOEING,757,2106
2007,10,BOEING,767,602
2007,10,BOEING,777,81
2007,11,AIRBUS,A300B4,11
2007,11,AIRBUS,A319,1868
2007,11,AIRBUS,A320,2794
2007,11,AIRBUS,A321,311
2007,11,AIRBUS,A330,33
2007,11,AIRBUS,A340,9
2007,11,BOEING,717,769
2007,11,BOEING,737,8552
2007,11,BOEING,747,55
2007,11,BOEING,757,1909
2007,11,BOEING,767,608
2007,11,BOEING,777,83
2007,12,AIRBUS,A300B4,12
2007,12,AIRBUS,A319,3586
2007,12,AIRBUS,A320,5822
2007,12,AIRBUS,A321,458
2007,12,AIRBUS,A330,50
2007,12,AIRBUS,A340,16
2007,12,BOEING,717,1361
2007,12,BOEING,737,15905
